物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300219,螺栓副_GB/T5783_M6*30_8.8-电镀锌72h盐雾_一母双平一弹,11020100997,11010100219,11090200140,11090200166,11090100080,2,
11140300316,螺栓副_GB/T5783_M8*25_8.8-电镀锌72h盐雾_一母双平一弹,11020100906,11010100219,11090100039,11090200165,11098800018,2,
11140300215,螺栓副_GB/T5783_M8*25_8.8-电镀锌72h盐雾_一母一平一弹,11020100906,11010100219,11090100039,11090200165,11098800018,1,
11140300220,螺栓副_GB/T5783_M8*30_8.8-电镀锌72h盐雾_一母双平一弹,11020100905,11010100219,11090100039,11090200165,11098800018,2,
11140300331,螺栓副_GB/T5783_M8*35_8.8-电镀锌72h盐雾_一母双平一弹,11020100904,11010100219,11090100039,11090200165,11098800018,2,
11140300405,螺栓副_GB/T5783_M8*40_8.8-电镀锌72h盐雾,11020100903,11010100219,11090100039,11090200165,11098800018,1,
11140300247,螺栓副_GB/T5783_M8*45_8.8-电镀锌72h盐雾,11020101047,11010100219,11090100039,11090200165,11098800018,1,
11140300478,螺栓副_GB/T5783_M8*75_8.8-电镀锌72h盐雾_一母双平一弹,11020110722,11010100219,11090100039,11090200165,11098800018,2,
11140300503,螺栓副_GB/T5783_M14*35_10.9-电镀锌72h盐雾,TDGG00145,TDGG00161,11090200173,11090200174,11090100089,1,
11140300501,螺栓副_GB/T5783_M14*45_10.9-电镀锌72h盐雾,TDGG00146,TDGG00161,11090200173,11090200174,11090100089,1,
11140300494,螺栓副_GB/T5783_M14*50_10.9-电镀锌72h盐雾,TDGG00147,TDGG00161,11090200173,11090200174,11090100089,1,
11140300334,半圆头方颈螺栓副_GB/T12_M8*16_4.8-电镀锌72h盐雾,TDGG00148,11010100400,11090200139,11090200164,11090100079,1,
11140300216,螺栓副_GB/T5783_M8*30_4.8-电镀锌72h盐雾_一母一平一弹,TDGG00149,11010100400,11090200139,11090200164,11090100079,1,
ACC1002505,半圆头方颈螺栓副_DIN603_M10*25_8.8-电镀锌,11020600068,FAA01001,GBH01001,,,1,
YX00001076,半圆头方颈螺栓副_DIN603_M10*30_8.8-电镀锌,11020600066,FAA01001,GBH01001,,,1,
YX00001077,半圆头方颈螺栓副_DIN603_M10*35_8.8-电镀锌,TDGG00096,FAA01001,GBH01001,,,1,
