物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300336,螺栓副_GB/T5783_M24*45_8.8-电镀锌,TDGG00122,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300076,螺栓副_GB/T5783_M24*50_8.8-电镀锌,AAD2405001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300146,螺栓副_GB/T5783_M24*55_8.8-电镀锌,AAD2405501,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300077,螺栓副_GB/T5783_M24*60_8.8-电镀锌,AAD2406001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300078,螺栓副_GB/T5783_M24*70_8.8-电镀锌,AAD2407001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300079,螺栓副_GB/T5783_M24*80_8.8-电镀锌,AAD2418001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300369,螺栓副_GB/T5783_M24*90_8.8-电镀锌,AAD2409001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300210,螺栓副_GB/T5783_M27*120_8.8-电镀锌,TDGG00123,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300300,螺栓副_GB/T5783_M27*140_8.8-电镀锌,TDGG00124,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300284,螺栓副_GB/T5783_M27*200_8.8-电镀锌,TDGG00125,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300259,螺栓副_GB/T5783_M27*230_8.8-电镀锌,TDGG00126,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300203,螺栓副_GB/T5783_M27*50_8.8-电镀锌,TDGG00127,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300153,螺栓副_GB/T5783_M27*60_8.8-电镀锌,TDGG00128,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300080,螺栓副_GB/T5783_M30*130_8.8-电镀锌,AAD3013001,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300081,螺栓副_GB/T5783_M30*140_8.8-电镀锌,AAD3014001,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300237,螺栓副_GB/T5783_M30*150_8.8-电镀锌,AAD3015001,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300341,螺栓副_GB/T5783_M30*230_8.8-电镀锌,TDGG00129,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300372,螺栓副_GB/T5783_M30*80_8.8-电镀锌,AAD3028001,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300238,螺栓副_GB/T5783_M30*90_8.8-电镀锌,AAD3009001,FAA03001,GAB03001,GBG03001,GAE03001,1,
11140300373,螺栓副_GB/T5783_M36*110_8.8-电镀锌,AAD3611001,FAA03601,GAB03601,GBG03601,GAE03601,1,
11140300122,螺栓副_GB/T5783_M36*90_8.8-电镀锌,AAD3609001,FAA03601,GAB03601,GBG03601,GAE03601,1,
11140300084,螺栓副_GB/T5783_M4*30_8.8-电镀锌,AAD0403001,FAA00401,GAB00401,GBG0401,GAE00401,1,
11140300087,螺栓副_GB/T5783_M6*20_8.8-电镀锌,AAD0602001,FAA00601,GAB00601,GBG00601,GAE00601,1,
AAC0602001_SS,螺栓副_GB/T5783_M6*20_8.8-电镀锌_一母双平一弹,AAD0602001,FAA00601,GAB00601,GBG00601,GAE00601,2,
11140300031,螺栓副_GB/T5783_M6*25_8.8-电镀锌,AAD0602501,FAA00601,GAB00601,GBG00601,GAE00601,1,
AAC0602501_SS,螺栓副_GB/T5783_M6*25_8.8-电镀锌_一母双平一弹,AAD0602501,FAA00601,GAB00601,GBG00601,GAE00601,2,
JX00007249,螺栓副_GB/T5783_M6*30_8.8-电镀锌,AAD0603001,FAA00601,GAB00601,GBG00601,GAE00601,1,
11140300201,螺栓副_GB/T5783_M6*30_8.8-电镀锌_一母双平一弹,AAD0603001,FAA00601,GAB00601,GBG00601,GAE00601,2,
11140300104,螺栓副_GB/T5783_M6*35_8.8-电镀锌,AAD0603501,FAA00601,GAB00601,GBG00601,GAE00601,1,
11140300312,螺栓副_GB/T5783_M6*35_8.8-电镀锌_一母双平一弹,AAD0603501,FAA00601,GAB00601,GBG00601,GAE00601,2,
11140300252,螺栓副_GB/T5783_M6*40_8.8-电镀锌,AAD0604001,FAA00601,GAB00601,GBG00601,GAE00601,1,
11140300313,螺栓副_GB/T5783_M6*40_8.8-电镀锌_一母双平一弹,AAD0604001,FAA00601,GAB00601,GBG00601,GAE00601,2,
11140300091,螺栓副_GB/T5783_M6*50_8.8-电镀锌,AAD0605001,FAA00601,GAB00601,GBG00601,GAE00601,1,
11140300356,螺栓副_GB/T5783_M8*12_8.8-电镀锌,AAD0801201,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300092,螺栓副_GB/T5783_M8*16_8.8-电镀锌,AAD0801601,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300493,螺栓副_GB/T5783_M8*20_8.8-电镀锌,AAD0802001,FAA00801,GAB00801,GBG00801,GAE00801,1,
AAC0802001_SS,螺栓副_GB/T5783_M8*20_8.8-电镀锌_一母双平一弹,AAD0802001,FAA00801,GAB00801,GBG00801,GAE00801,2,
11140300093,螺栓副_GB/T5783_M8*25_8.8-电镀锌,AAD0802501,FAA00801,GAB00801,GBG00801,GAE00801,1,
AAC0802501_SS,螺栓副_GB/T5783_M8*25_8.8-电镀锌_一母双平一弹,AAD0802501,FAA00801,GAB00801,GBG00801,GAE00801,2,
11140300034,螺栓副_GB/T5783_M8*25_8.8-电镀锌_用11140300093…,AAD0802501,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300035,螺栓副_GB/T5783_M8*30_8.8-电镀锌,AAD0803001,FAA00801,GAB00801,GBG00801,GAE00801,1,
AAC0803001_SS,螺栓副_GB/T5783_M8*30_8.8-电镀锌_一母双平一弹,AAD0803001,FAA00801,GAB00801,GBG00801,GAE00801,2,
SP0000985,螺栓副_GB/T5783_M8*35_8.8-电镀锌,AAD0803501,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300302,螺栓副_GB/T5783_M8*35_8.8-电镀锌_一母双平一弹,AAD0803501,FAA00801,GAB00801,GBG00801,GAE00801,2,
11140300095,螺栓副_GB/T5783_M8*40_8.8-电镀锌,AAD0804001,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300246,螺栓副_GB/T5783_M8*40_8.8-电镀锌_一母双平一弹,AAD0804001,FAA00801,GAB00801,GBG00801,GAE00801,2,
11140300268,螺栓副_GB/T5783_M8*45_8.8-电镀锌,AAD0804501,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300375,螺栓副_GB/T5783_M8*50_8.8-电镀锌,AAD0805001,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300097,螺栓副_GB/T5783_M8*55_8.8-电镀锌,AAD0805501,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300347,螺栓副_GB/T5783_M8*60_8.8-电镀锌,AAD0806001,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300267,螺栓副_GB/T5783_M8*65_8.8-电镀锌,AAD0806501,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300294,螺栓副_GB/T5783_M8*90_8.8-电镀锌,TDGG00130,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300178,螺栓副_GB/T5783_M10*40_10.9-电镀锌,11020100392,FAA01003,GAB01001,GBG01001,GAE01001,1,
ZD00001134,螺栓副_GB/T5783_M10*60_10.9-电镀锌,TDGG00131,FAA01003,GAB01001,GBG01001,GAE01001,1,
ZD00001150,螺栓副_GB/T5783_M20*100_10.9-电镀锌,TDGG00132,FAA02003,GAB02001,GBG02001,GAE02001,1,
11140300103,螺栓副_GB/T5783_M8*20_10.9-电镀锌,TDGG00133,FAA00804,GAB00801,GBG00801,GAE00801,1,
11140300102,螺栓副_GB/T5783_M8*30_10.9-电镀锌,TDGG00134,FAA00804,GAB00801,GBG00801,GAE00801,1,
11140300101,螺栓副_GB/T5783_M8*60_10.9-电镀锌,HG000015,FAA00804,GAB00801,GBG00801,GAE00801,1,
11140300253,半圆头方颈螺栓副_GB/T12_M6*20_4.8-电镀锌,TDGG00135,FBK00601,GAB00601,GBG00601,GAE00601,1,
SP0005427,半圆头方颈螺栓副_GB/T12_M8*16_4.8-电镀锌,ABS0801601,FBK00801,GAB00801,GBG00801,GAE00801,1,
11020600009,半圆头方颈螺栓副_GB/T12_M8*30_4.8-电镀锌,ABS0803001,FBK00801,GAB00801,GBG00801,GAE00801,1,
11020600008,半圆头方颈螺栓副_GB/T12_M8*35_4.8-电镀锌,ABS0803501,FBK00801,GAB00801,GBG00801,GAE00801,1,
11140300006,螺栓副_GB/T5781_M10*30_4.8-电镀锌,TDGG00136,FBK01001,GAB01001,GBG01001,GAE01001,1,
11140300007,螺栓副_GB/T5781_M10*35_4.8-电镀锌,AAB1003501,FBK01001,GAB01001,GBG01001,GAE01001,1,
11140300008,螺栓副_GB/T5781_M12*35_4.8-电镀锌,AAB1203501,FBK01201,GAB01201,GBG01201,GAE01201,1,
11140300009,螺栓副_GB/T5781_M12*45_4.8-电镀锌,AAB1204501,FBK01201,GAB01201,GBG01201,GAE01201,1,
11140300010,螺栓副_GB/T5781_M14*35_4.8-电镀锌,11020110644,FBK01401,GAB01401,GBG01401,GAE01401,1,
11140300011,螺栓副_GB/T5781_M16*60_4.8-电镀锌,TDGG00137,FAA01604,GAB01601,GBG01601,GAE01601,1,
11140300012,螺栓副_GB/T5781_M20*60_4.8-电镀锌,11020100363,FBK02001,GAB02001,GBG02001,GAE02001,1,
11140300013,螺栓副_GB/T5781_M22*70_4.8-电镀锌,TDGG00138,TDGG00162,GAB02201,GBG02201,GAE02201,1,
11140300014,螺栓副_GB/T5781_M24*55_4.8-电镀锌,TDGG00139,FBK02401,GAB02401,GBG02401,GAE02401,1,
11140300015,螺栓副_GB/T5781_M24*90_4.8-电镀锌,TDGG00140,FBK02401,GAB02401,GBG02401,GAE02401,1,
11140300118,螺栓副_GB/T5781_M6*16_4.8-电镀锌,AAB0601601,FBK00601,GAB00601,GBG00601,GAE00601,1,
11140300017,螺栓副_GB/T5781_M6*25_4.8-电镀锌,AAB0602501,FBK00601,GAB00601,GBG00601,GAE00601,1,
11140300168,螺栓副_GB/T5781_M6*30_4.8-电镀锌,11020100203,FBK00601,GAB00601,GBG00601,GAE00601,1,
11140300018,螺栓副_GB/T5781_M8*20_4.8-电镀锌,11020100193,FBK00801,GAB00801,GBG00801,GAE00801,1,
11140300019,螺栓副_GB/T5781_M8*25_4.8-电镀锌,TDGG00141,FBK00801,GAB00801,GBG00801,GAE00801,1,
11140300020,螺栓副_GB/T5781_M8*30_4.8-电镀锌,AAB0803001,FBK00801,GAB00801,GBG00801,GAE00801,1,
11140300021,螺栓副_GB/T5781_M8*35_4.8-电镀锌,11020100191,FBK00801,GAB00801,GBG00801,GAE00801,1,
11140300436,螺栓副_GB/T5783_M16*80_8.8-电镀锌_含自锁螺母,AAD1608001,11010500088,GAB01601,GBG01601,GAE01601,1,
11140300366,螺栓副_GB/T5783_M20*100_10.9-氧化,TDGG00165,11010100146,GAB02003,,TDGG00164,1,
11020100331,螺栓副_GB/T5783_M24*120_10.9-氧化,11020100322,11010100019,11090200004,,11090100041,1,
11060300095,内六角圆柱头螺钉副_GB/T70.1_M12*45_10.9-氧化,TDGG00166,FAA01203,GAB01201,,GAE01201,1,
